route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
9F,SH,9F-R01,Rusun Tambora - Pluit,0,,9F-R01_shp
9F,SH,9F-R02,Pluit - Rusun Tambora,1,,9F-R02_shp
9H,HK,9H-R04,Blok M - Universitas Indonesia,1,,9H-R04_shp
9H,HK,9H-R05,Universitas Indonesia - Blok M,0,,9H-R05_shp
9N,SH,9N-R03,Pinang Ranti - Cawang Soetoyo,0,,ptzz
9N,SH,9N-R04,Cawang Soetoyo - Pinang Ranti,1,,l7sv
9ST,SH,9ST-R01,Indosiar - Jembatan Besi,0,,3l33
9ST,SH,9ST-R02,Jembatan Besi - Indosiar,1,,3o8m
B11,SH,B11-R08,BNN - Summarecon Bekasi,1,,3l4u
B11,SH,B11-R09,Summarecon Bekasi - BNN,0,,5b90
B13,HK,B13-R01,Bekasi Barat - Blok M,0,,B13-R01_shp
B13,HK,B13-R02,Blok M - Bekasi Barat,1,,B13-R02_shp
B14,HK,B14-R01,Bekasi Barat - Kuningan,0,,B14-R01_shp
B14,HK,B14-R02,Kuningan - Bekasi Barat,1,,B14-R02_shp
B21,SH,B21-R07,Bekasi Timur - BNN,0,,425j
B21,SH,B21-R08,BNN - Bekasi Timur,1,,wqde
BW2,SH,BW2-L01,Jakarta Modern,0,,BW2-L01_shp
BW4,SH,BW4-L01,Pencakar Langit,0,,BW4-L01_shp
BW9,SH,BW9-R01,IRTI - Pantai Maju,0,,9s06
BW9,SH,BW9-R03,Pantai Maju - IRTI,0,,2xlg
D11,SH,D11-R03,Depok - PGC 1,0,,d3g6
D11,SH,D11-R04,PGC 1 - Depok,1,,2o7o
D21,SH,D21-R01,Universitas Indonesia - Lebak Bulus,0,,D21-R01_shp
D21,SH,D21-R02,Lebak Bulus - Universitas Indonesia,1,,D21-R02_shp
D31,HK,D31-R03,Cinere - Kuningan,0,,D31-R03_shp
D31,HK,D31-R04,Kuningan - Cinere,1,,D31-R04_shp
D32,HK,D32-R01,Cinere - Bundaran Senayan,0,,D32-R01_shp
D32,HK,D32-R02,Bundaran Senayan - Cinere,1,,D32-R02_shp
GR4,SH,GR4-L01,Taman Kota Intan - Museum Bahari,0,,GR4-L01_shp
GR5,SH,GR5-L01,Kota Tua Explorer,0,,GR5-L01_shp
JAK.01,SH,JAK.01-R01,Tanjung Priok - Plumpang,0,,JAK.01-R01_shp
JAK.01,SH,JAK.01-R02,Plumpang - Tanjung Priok,1,,JAK.01-R02_shp
JAK.02,SH,JAK.02-R03,Kampung Melayu - Duren Sawit,0,,JAK.02-R03_shp
JAK.02,SH,JAK.02-R04,Duren Sawit - Kampung Melayu,1,,JAK.02-R04_shp
JAK.03,SH,JAK.03-R01,Lebak Bulus - Andara,0,,JAK.03-R01_shp
JAK.03,SH,JAK.03-R02,Andara - Lebak Bulus,1,,JAK.03-R02_shp
JAK.04,SH,JAK.04-R01,Tubagus Angke - Grogol,0,,JAK.04-R01_shp
JAK.04,SH,JAK.04-R02,Grogol - Tubagus Angke,1,,JAK.04-R02_shp
JAK.05,SH,JAK.05-R01,Rorotan - Semper,0,,JAK.05-R01_shp
JAK.05,SH,JAK.05-R02,Semper - Rorotan,1,,JAK.05-R02_shp
JAK.06,SH,JAK.06-R01,Pondok Gede - Kampung Rambutan,0,,JAK.06-R01_shp
JAK.06,SH,JAK.06-R02,Kampung Rambutan - Pondok Gede,1,,JAK.06-R02_shp
JAK.07,SH,JAK.07-R01,Tanah Abang - Grogol Via Tawakal,0,,JAK.07-R01_shp
JAK.07,SH,JAK.07-R02,Grogol - Tanah Abang Via Tawakal,1,,JAK.07-R02_shp
JAK.08,SH,JAK.08-R01,Roxy - Benhil,0,,JAK.08-R01_shp
JAK.08,SH,JAK.08-R02,Benhil - Roxy,1,,JAK.08-R02_shp
JAK.09,SH,JAK.09-R01,Roxy Mas - Karet,0,,JAK.09-R01_shp
JAK.10,SH,JAK.10-R03,Tanah Abang - Kota,0,,JAK.10-R03_shp
JAK.10,SH,JAK.10-R04,Kota - Tanah Abang,1,,JAK.10-R04_shp
JAK.100,SH,JAK.100-R01,Term. Pulo Gebang - Rusun Pinus Elok,0,,uzwp
JAK.100,SH,JAK.100-R02,Rusun Pinus Elok - Term. Pulo Gebang,1,,mrtt
JAK.106,SH,JAK.106-R01,Terminal Klender - Terminal Kampung Melayu,0,,JAK.106-R01_shp
JAK.106,SH,JAK.106-R03,Terminal Kampung Melayu - Terminal Klender,1,,JAK.106-R03_shp
JAK.10A,SH,JAK.10A-L01,Gondangdia - Cikini Via Salemba - Gondangdia,0,,JAK.10A-L01_shp
JAK.10B,SH,JAK.10B-L01,Gondangdia - Cikini Via Kramat - Gondangdia,0,,JAK.10B-L01_shp
JAK.11,SH,JAK.11-R01,Tanah Abang - Kebayoran Lama,0,,JAK.11-R01_shp
JAK.11,SH,JAK.11-R02,Kebayoran Lama - Tanah Abang,1,,JAK.11-R02_shp
JAK.110A,SH,JAK.110A-R01,Rusun Marunda - Terminal Terpadu Pulo Gebang,0,,JAK.110A-R01_shp
JAK.110A,SH,JAK.110A-R02,Terminal Terpadu Pulo Gebang - Rusun Marunda,1,,JAK.110A-R02_shp
JAK.112,SH,JAK.112-R01,Tanah Merah - Pulo Gadung,0,,JAK.112-R01_shp
JAK.112,SH,JAK.112-R02,Pulo Gadung - Tanah Merah,1,,JAK.112-R02_shp
JAK.113,SH,JAK.113-R03,Rusun Sindang Koja - Kampung Sawah,0,,JAK.113-R03_shp
JAK.113,SH,JAK.113-R04,Kampung Sawah - Rusun Sindang Koja,1,,JAK.113-R04_shp
JAK.115,SH,JAK.115-R03,Term. Tj. Priok - Pegangsaan II IGI,0,,JAK.115-R03_shp
JAK.115,SH,JAK.115-R04,Pegangsaan II IGI - Term. Tj. Priok,1,,JAK.115-R04_shp
JAK.117,SH,JAK.117-R01,Tanjung Priok - Tanah Merdeka,0,,JAK.117-R01_shp
JAK.117,SH,JAK.117-R02,Tanah Merdeka - Tanjung Priok,1,,JAK.117-R02_shp
JAK.118,SH,JAK.118-R01,Taman Waduk Papanggo - Kota Tua,0,,JAK.118-R01_shp
JAK.118,SH,JAK.118-R02,Kota Tua - Taman Waduk Papanggo,1,,JAK.118-R02_shp
JAK.12,SH,JAK.12-R01,Tanah Abang - Kebayoran Lama Via Pos Pengumben,0,,JAK.12-R01_shp
JAK.12,SH,JAK.12-R02,Kebayoran Lama - Tanah Abang Via Pos Pengumben,1,,JAK.12-R02_shp
JAK.120,SH,JAK.120-R01,JIS - Terminal Muara Angke,0,,JAK.120-R01_shp
JAK.120,SH,JAK.120-R02,Terminal Muara Angke - JIS,1,,JAK.120-R02_shp
JAK.13,SH,JAK.13-R03,Tanah Abang - Jembatan Lima,0,,JAK.13-R03_shp
JAK.13,SH,JAK.13-R04,Jembatan Lima - Tanah Abang,1,,JAK.13-R04_shp
JAK.14,SH,JAK.14-R01,Tanah Abang - Meruya,0,,JAK.14-R01_shp
JAK.14,SH,JAK.14-R02,Meruya - Tanah Abang,1,,JAK.14-R02_shp
JAK.15,SH,JAK.15-R04,Tanjung Priok - Bulak Turi,1,,JAK.15-R04_shp
JAK.15,SH,JAK.15-R05,Rusun Marunda - Tanjung Priok,0,,JAK.15-R05_shp
JAK.16,SH,JAK.16-R01,Cililitan - Condet,0,,JAK.16-R01_shp
JAK.16,SH,JAK.16-R02,Condet - Cililitan,1,,JAK.16-R02_shp
JAK.17,SH,JAK.17-R01,Pulo Gadung - Senen,1,,JAK.17-R01_shp
JAK.17,SH,JAK.17-R02,Senen - Pulo Gadung,1,,JAK.17-R02_shp
JAK.18,SH,JAK.18-R01,Kalibata - Kuningan,0,,JAK.18-R01_shp
JAK.18,SH,JAK.18-R02,Kuningan - Kalibata,1,,JAK.18-R02_shp
JAK.19,SH,JAK.19-R01,Pinang Ranti - Kampung Rambutan,0,,JAK.19-R01_shp
JAK.19,SH,JAK.19-R02,Kampung Rambutan - Pinang Ranti,1,,JAK.19-R02_shp
JAK.20,SH,JAK.20-R01,Cawang Uki - Lubang Buaya,0,,JAK.20-R01_shp
JAK.20,SH,JAK.20-R02,Lubang Buaya - Cawang Uki,1,,JAK.20-R02_shp
JAK.21,SH,JAK.21-R01,Cililitan - Dwikora,0,,JAK.21-R01_shp
JAK.21,SH,JAK.21-R02,Dwikora - Cililitan,1,,JAK.21-R02_shp
JAK.22,SH,JAK.22-R01,Dwikora - Penas Kalimalang,0,,JAK.22-R01_shp
JAK.22,SH,JAK.22-R02,Penas Kalimalang - Dwikora,1,,JAK.22-R02_shp
JAK.23,SH,JAK.23-R01,Senen - Pisangan Baru,0,,JAK.23-R01_shp
JAK.23,SH,JAK.23-R02,Pisangan Baru - Senen,1,,JAK.23-R02_shp
JAK.23,SH,JAK.23-R03,Senen - Pisangan Baru,0,,JAK.23-R03_shp
JAK.24,SH,JAK.24-R01,Pulo Gadung - Senen Via Kelapa Gading,0,,JAK.24-R01_shp
JAK.24,SH,JAK.24-R02,Senen - Pulo Gadung Via Kelapa Gading,1,,JAK.24-R02_shp
JAK.25,SH,JAK.25-R01,Kampung Rambutan - Kalisari,0,,JAK.25-R01_shp
JAK.25,SH,JAK.25-R03,Kalisari - Kampung Rambutan,1,,JAK.25-R03_shp
JAK.26,SH,JAK.26-R01,Duren Sawit - Rawamangun,0,,JAK.26-R01_shp
JAK.26,SH,JAK.26-R02,Rawamangun - Duren Sawit,1,,JAK.26-R02_shp
JAK.27,SH,JAK.27-R01,Pulo Gebang - Rorotan,0,,JAK.27-R01_shp
JAK.27,SH,JAK.27-R02,Rorotan - Pulo Gebang,1,,JAK.27-R02_shp
JAK.28,SH,JAK.28-R01,Kampung Rambutan - Taman Wiladatika,0,,JAK.28-R01_shp
JAK.28,SH,JAK.28-R02,Taman Wiladatika - Kampung Rambutan,1,,JAK.28-R02_shp
JAK.29,SH,JAK.29-R03,Sukapura - Tanjung Priok,0,,JAK.29-R03_shp
JAK.29,SH,JAK.29-R04,Tanjung Priok - Sukapura,1,,JAK.29-R04_shp
